id,journal_id,name,pmid,pmc,publisher_id,doi,subject,published_date,received_date,accepted_date,license_type,copyright_statement,keywords,repositories
1623,466,"Co-Occurrence of Enzyme Domains Guides the Discovery of an Oxazolone Synthetase",34099916,8238888,,10.1038/s41589-021-00808-4,Article,2021-05-27,"","",,,"",""
1624,358,"CutLang v2: Advances in a Runtime-Interpreted Analysis Description Language for HEP Data",34169274,8218547,659986,10.3389/fdata.2021.659986,"Big Data",2021-06-07,2021-01-28,2021-05-03,,"Copyright © 2021 Unel, Sekmen, Toon, Gokturk, Orgen, Paul, Ravel and Setpal.","LHC;collider;run time analysis;analysis description language;CutLang",https://github.com/unelg/CutLang;https://github.com/ADL4HEP/ADLLHCanalyses;https://github.com/gordonwatts/LINQtoROOT;https://github.com/lgray/AwkwardQL;https://github.com/diana-hep/femtocode;https://github.com/jpivarski/PartiQL
1625,78,"Atg32-dependent mitophagy sustains spermidine and nitric oxide required for heat-stress tolerance in ",34096604,8214763,JCS253781,10.1242/jcs.253781,Autophagy,2021-06-01,2020-09-07,2021-05-06,,"© 2021. Published by The Company of Biologists Ltd","ATG32;Autophagy;Mitophagy;Nitric oxide;S-adenosyl methionine;Spermidine",""
1626,18,"Quantitative single-cell proteomics as a tool to characterize cellular hierarchies",34099695,8185083,23667,10.1038/s41467-021-23667-y,Article,2021-06-07,2021-01-14,2021-05-11,,"© The Author(s) 2021","Proteomics;Mass spectrometry;Cancer stem cells;Acute myeloid leukaemia;Proteome informatics",https://github.com/bfurtwa/SCeptre
1627,18,"Anchor extension: a structure-guided approach to design cyclic peptides targeting enzyme active sites",34099674,8185074,23609,10.1038/s41467-021-23609-8,Article,2021-06-07,2020-06-09,2021-05-04,,"© The Author(s) 2021","Protein design;Peptides",https://github.com/ParisaH-Lab/publications
1628,359,"Reproducible and accessible analysis of transposon insertion sequencing in Galaxy for qualitative essentiality analyses",34090324,8178898,2184,10.1186/s12866-021-02184-4,"Methodology Article",2021-06-05,2020-10-08,2021-04-08,,"© The Author(s) 2021","Transposon Insertion Sequencing;TIS;TraDis;TnSeq;Bacteria;Annotation",https://github.com/galaxyproject/TIS_methods_review
1629,227,"Exceptional long-term sperm storage by a female vertebrate",34086677,8177532,PONE-D-21-10790,10.1371/journal.pone.0252049,"Research Article",2021-06-04,2021-04-01,2021-05-10,,"© 2021 Levine et al","",https://github.com/brenna-levine/atrox_LTSS
1630,13,"Open-source smartphone app and tools for measuring, quantifying, and visualizing technology use",34085234,8863755,1585,10.3758/s13428-021-01585-7,"Original Manuscript",2021-06-03,"",2021-03-22,,"© The Author(s) 2021","Digital traces;Mobile software;Screen time;Smartphones;Technology use",https://github.com/hongru/canvas2image;https://github.com/JakeWharton/timber;https://github.com/dm77/barcodescanner;https://github.com/yuriy-budiyev/code-scanner;https://github.com/google/gson;https://github.com/sqlcipher/android-database-sqlcipher;https://github.com/itext/itextpdf;https://github.com/kris-geyer/UsageLoggerPublished;https://github.com/kris-geyer/psychvalidaitor
1631,270,"Biochemical resolving power of fluorescence lifetime imaging: untangling the roles of the instrument response function and photon-statistics",34457379,8367261,428070,10.1364/BOE.428070,Article,2021-06-03,2021-04-16,2021-05-28,,"Published by The Optical Society under the terms of the ","",""
1632,56,"Performant barcode decoding for herbarium specimen images using vector‐assisted region proposals (VARP)",34141497,8202828,APS311436,10.1002/aps3.11436,"Protocol Note",2021-06-03,2020-11-05,2021-05-06,,"© 2021 Powell and Shaw Applications in Plant
Sciences published by Wiley Periodicals LLC on behalf of the Botanical Society of America","barcode;biodiversity data;digitization;herbarium;natural history collections","https://github.com/zxing/zxing;https://github.com/CapPow/pyzbar;https://github.com/NaturalHistoryMuseum/gouda;https://github.com/dlenski/python‐zxing;https://github.com/CapPow/HerbASAP;https://github.com/CapPow/VARP_supplimental"
1633,255,"Genome-wide detection of enhancer-hijacking events from chromatin interaction data in re-arranged genomes",34092790,8191102,,10.1038/s41592-021-01164-w,Article,2021-05-17,"","",,,"",""
1634,467,"Data Analysis and Forecasting of the COVID-19 Spread: A Comparison of Recurrent Neural Networks and Time Series Models",34104256,8175062,9885,10.1007/s12559-021-09885-y,Article,2021-06-03,2020-07-22,2021-05-23,,"© The Author(s) 2021","Covid19;Data science;Time series forecasting;Recurrent neural networks.",https://github.com/DRAE-1MLP/COVID19_Mexico;https://github.com/CSSEGISandData/COVID-19
1635,15,"An analysis of security vulnerabilities in container images for scientific data analysis",34080631,8173661,giab025,10.1093/gigascience/giab025,"Technical Note",2021-06-03,2020-10-26,"",,"© The Author(s) 2021. Published by Oxford University Press GigaScience.","containers;Docker;singularity;security vulnerabilities;neuroimaging",https://github.com/big-data-lab-team/container-vulnerabilities-paper;https://github.com/anchore/anchore-engine;https://github.com/future-architect/vuls;https://github.com/quay/clair;https://github.com/arminc/clair-scanner;https://github.com/singularityhub/stools;https://github.com/ReproNim/neurodocker
1636,127,"PRoBE the cloud toolkit: finding the best biomarkers of drug response within a breast cancer clinical trial",34095775,8172495,ooab038,10.1093/jamiaopen/ooab038,"Research and Applications","",2020-11-02,2021-05-03,,"© The Author(s) 2021. Published by Oxford University Press on behalf of the American Medical Informatics Association.","clinical trials;cloud;breast cancer;data analysis;I-SPY 2",https://github.com/GoogleCloudPlatform/qupath-chcapi-extension;https://github.com/GoogleCloudPlatform/wsi-to-dicom-converter;https://github.com/googlegenomics/gcp-variant-transforms;https://github.com/GoogleCloudPlatform/dicomweb-wsi-viewer
1637,55,"Transcription factor enrichment analysis (TFEA) quantifies the activity of multiple transcription factors from a single experiment",34079046,8172830,2153,10.1038/s42003-021-02153-7,Article,2021-06-02,2021-02-25,2021-04-20,,"© The Author(s) 2021","Transcriptional regulatory elements;Statistical methods",https://github.com/Dowell-Lab/ChIP-Flow;https://github.com/Dowell-Lab/TFEA;https://github.com/Dowell-Lab/mumerge
1638,18,"Discovery of widespread transcription initiation at microsatellites predictable by sequence-based deep neural network",34078885,8172540,23143,10.1038/s41467-021-23143-7,Article,2021-06-02,2020-07-15,2021-04-13,,"© The Author(s) 2021, corrected publication 2022","Machine learning;Genomics;Transcriptomics",https://github.com/HipSTR-Tool/HipSTR-references
1639,255,"PANOPLY: A cloud-based platform for automated and reproducible proteogenomic data analysis",34040252,8791030,,10.1038/s41592-021-01176-6,Article,2022-01-20,"","",,,"",""
1640,468,"EvoSeg: Automated Electron Microscopy Segmentation through Random Forests and Evolutionary Optimization",34206006,8293153,biomimetics-06-00037,10.3390/biomimetics6020037,Article,2021-06-01,2021-04-16,2021-05-28,,"© 2021 by the authors.","electron microscopy;segmentation;EM;machine learning;random forests;evolutionary algorithms",https://github.com/tecdatalab/biostructure;https://github.com/tecdatalab/datasets
1641,234,"Nutrient Loading and Viral Memory Drive Accumulation of Restriction Modification Systems in Bloom-Forming Cyanobacteria",34060332,8262939,mBio00873-21,10.1128/mBio.00873-21,"Research Article",2021-06-01,2021-04-09,2021-04-23,,"Copyright © 2021 Papoulis et al.","
          ;harmful algal blooms;viral defense;eutrophication",https://github.com/SEpapoulis/ODElib;https://github.com/SEpapoulis/EscalationAndDe-escalationOfRM
1642,294,"Interpretation of allele-specific chromatin accessibility using cell state–aware deep learning",33832990,8168584,,10.1101/gr.260851.120,Method,"",2020-01-30,2021-04-05,,"
          ","",https://github.com/schatzlab/crossstitch;https://github.com/aertslab/AS_variant_pipeline;https://github.com/aertslab/DeepMEL
1643,15,"Driftage: a multi-agent system framework for concept drift detection",34061207,8168350,giab030,10.1093/gigascience/giab030,Research,2021-06-01,2020-09-24,2021-03-30,,"© The Author(s) 2021. Published by Oxford University Press GigaScience.","concept drift;data drift;anomaly detection;time series;multi-agent systems;data mining;machine learning interpretability;machine learning explainability",https://github.com/dmvieira/driftage
1644,3,"Mutation of a conserved glutamine residue does not abolish desensitization of acid-sensing ion channel 1",34061161,8167889,jgp.202012855,10.1085/jgp.202012855,Communication,2021-08-02,2020-12-19,2021-05-13,,"© 2021 Rook et al.","",https://github.com/MChavent/Hbond-analysis
1645,220,"Low-cost, scalable, and automated fluid sampling for fluidics applications",35607693,9123361,e00201,10.1016/j.ohx.2021.e00201,Article,2021-05-31,2021-02-24,2021-05-08,,"© 2021 The Authors. Published by Elsevier Ltd.","Fraction collector;Fluidics;3D-printing",https://github.com/pachterlab/colosseum;https://github.com/pachterlab/BKMGP_2021;https://github.com/pachterlab/pegasus
1646,12,"Time series of useful energy consumption patterns for energy system modeling",34059689,8166825,907,10.1038/s41597-021-00907-w,"Data Descriptor",2021-05-31,2020-12-22,2021-03-25,,"© The Author(s) 2021","Energy supply and demand;Energy economics;Energy modelling;Energy efficiency",https://github.com/FCN-ESE/JERICHO-E-usage
1647,469,"Utilizing Time-Resolved Protein-Induced Fluorescence Enhancement to Identify Stable Local Conformations One α-Synuclein Monomer at a Time",34125097,8717817,,10.3791/62655,Article,2021-12-22,"","",,,"",""
1648,445,"Assessing school-based policy actions for COVID-19: An agent-based analysis of incremental infection risk",34102403,8163694,104518,10.1016/j.compbiomed.2021.104518,Article,2021-05-29,2021-03-25,2021-05-24,,"© 2021 Elsevier Ltd. All rights reserved.","SARS-CoV-2 (COVID-19);Agent-based simulation;Virus airborne transmission;Social distancing;Ventilation;Surveillance testing;Contact tracing",""
1649,470,"Real-Time Estimation of Aerobic Threshold and Exercise Intensity Distribution Using Fractal Correlation Properties of Heart Rate Variability: A Single-Case Field Application in a Former Olympic Triathlete",34124661,8193503,,10.3389/fspor.2021.668812,"Sports and Active Living",2021-05-28,2021-02-18,2021-05-04,,"Copyright © 2021 Gronwald, Berk, Altini, Mourot, Hoos and Rogers.","HRV;autonomic nervous system;endurance exercise;endurance training;polarized training",https://github.com/marcoalt/Colab
1650,133,"A Machine Learning Bioinformatics Method to Predict
Biological Activity from Biosynthetic Gene Clusters",34042443,8243324,,10.1021/acs.jcim.0c01304,Article,2021-05-27,2020-11-10,"",,"© 2021 The Authors. Published
by American
Chemical Society","",https://github.com/allie-walker/Natural-product-function
1651,115,"Theta Oscillations Gate the Transmission of Reliable Sequences in the Medial Entorhinal Cortex",33820802,8208650,eN-CFN-0059-20,10.1523/ENEURO.0059-20.2021,8,2021-04-02,2020-02-18,2021-01-12,,"Copyright © 2021 Neru and Assisi","entorhinal;gating;grid cells;sequence;stability;theta",https://github.com/arunneru/theta_gates_reliable_sequences_mEC
1652,52,"Emulated retinal image capture (ERICA) to test, train and validate processing of retinal images",34045507,8160341,90389,10.1038/s41598-021-90389-y,Article,2021-05-27,2021-02-08,2021-05-04,,"© The Author(s) 2021","Characterization and analytical techniques;Visual system;Adaptive optics;Software;Eye diseases",https://github.com/LauraKateYoung/ERICA
1653,198,"Multilayer modelling of the human transcriptome and biological mechanisms of complex diseases and traits",34045472,8160250,186,10.1038/s41540-021-00186-6,Article,2021-05-27,2020-11-12,2021-04-28,,"© The Author(s) 2021","Computational biology and bioinformatics;Genetics",https://github.com/tjiagoM/gtex-transcriptome-modelling
1654,55,"Spatially visualized single-cell pathology of highly multiplexed protein profiles in health and disease",34045665,8160218,2166,10.1038/s42003-021-02166-2,Article,2021-05-27,2020-11-06,2021-04-29,,"© The Author(s) 2021","Single-cell imaging;Image processing;Imaging the immune system",https://github.com/coskunlab/SpatialViz
1655,52,"Modular network mechanism of CCN1-associated resistance to HSV-1-derived oncolytic immunovirotherapies for glioblastomas",34045642,8159930,90718,10.1038/s41598-021-90718-1,Article,2021-05-27,2021-02-09,2021-05-17,,"© The Author(s) 2021","Cellular signalling networks;Systems biology;Tumour immunology",https://github.com/cpreid2/gdc-rnaseq-tool;https://github.com/HuLiLab/NetDecoder;https://github.com/HuLiLab/GBM_CCN1
1656,7,"Analysing Time-Stamped Co-Editing Networks in Software Development Teams using git2net",34720670,8550015,9928,10.1007/s10664-020-09928-2,Article,2021-05-26,"",2020-12-17,,"© The Author(s) 2021","Repository mining;Collaboration networks;Developer productivity",https://github.com/gotec/git2net
1657,18,"Reduced adaptation of glutamatergic stress response is associated with pessimistic expectations in depression",34039978,8155144,23284,10.1038/s41467-021-23284-9,Article,2021-05-26,2020-05-18,2021-04-19,,"© The Author(s) 2021","Cognitive neuroscience;Stress and resilience",https://github.com/TReAD-Lab/Cooper_NatComm_2021
1658,471,"Active Learning and the Potential of Neural Networks Accelerate Molecular Screening for the Design of a New Molecule Effective against SARS-CoV-2",34124259,8172298,,10.1155/2021/6696012,"Research Article","",2020-12-27,2021-05-15,,"Copyright © 2021 Rabhi Yassine et al.","",""
1659,55,"Multi Locus View: an extensible web-based tool for the analysis of genomic data.",34035422,8149710,2097,10.1038/s42003-021-02097-y,Article,2021-05-25,2020-09-14,2021-03-31,,"© The Author(s) 2021","Software;Data integration",https://github.com/igvteam/igv.js;https://github.com/Hughes-Genome-Group/MLVPanel;https://github.com/Hughes-Genome-Group/CIView;https://github.com/mleibman/SlickGrid;https://github.com/Hughes-Genome-Group/mlv
1660,18,"mRNA therapy restores euglycemia and prevents liver tumors in murine model of glycogen storage disease",34035281,8149455,23318,10.1038/s41467-021-23318-2,Article,2021-05-25,2020-08-19,2021-04-20,,"© The Author(s) 2021","Pharmacology;Endocrine system and metabolic diseases",https://github.com/WebLogo/weblogo
1661,472,"Genetic variation at the ",34034756,8146665,3757,10.1186/s12936-021-03757-4,Research,2021-05-25,2020-11-11,2021-05-08,,"© The Author(s) 2021","Mosquito;
          ;Metabolic resistance;Allelic variants;Selection",https://github.com/malariagen/ag1000g-phase2-cyp6m2
1662,473,"Programmatic modeling for biological systems",34485764,8411905,,10.1016/j.coisb.2021.05.004,Article,2021-07-13,"","",,,"",""
1663,75,"KEA3: improved kinase enrichment analysis via data integration",34019655,8265130,gkab359,10.1093/nar/gkab359,AcademicSubjects/SCI00010,2021-07-02,2021-03-04,2021-04-22,,"© The Author(s) 2021. Published by Oxford University Press on behalf of Nucleic Acids Research.","",https://github.com/MaayanLab/genesetr;https://github.com/MaayanLab/KEA3webData;https://github.com/maayanlab/KEA3web
1664,75,"RunBioSimulations: an extensible web application that simulates a wide range of computational modeling frameworks, algorithms, and formats",34019658,8262693,gkab411,10.1093/nar/gkab411,AcademicSubjects/SCI00010,2021-07-02,2021-03-03,2021-04-30,,"© The Author(s) 2021. Published by Oxford University Press on behalf of Nucleic Acids Research.","",https://github.com/biosimulations/Biosimulations
1665,66,"Random heterogeneity outperforms design in network synchronization",34021085,8166160,202024299,10.1073/pnas.2024299118,405,2021-05-25,"","",,,"synchronization;network dynamics;electrochemical oscillators;nonlinear dynamics",""
1666,34,"ProkEvo: an automated, reproducible, and scalable framework for high-throughput bacterial population genomics analyses",34055480,8142932,11376,10.7717/peerj.11376,Bioinformatics,2021-05-21,2020-11-12,2021-04-08,,"© 2021 Pavlovikj et al.","Bacteria;Population-genomics;Pan-genome;High-performance computing;High-throughput computing;Scalability;Workflow-management system;Pipeline",https://github.com/npavlovikj/ProkEvo;https://github.com/nmquijada/tormes;https://github.com/tseemann/nullarbor;https://github.com/oschwengers/asap;https://github.com/bactopia/bactopia;https://github.com/tseemann/mlst;https://github.com/tseemann/abricate;https://github.com/rvalieris/parallel-fastq-dump
1667,227,"Data management and sharing: Practices and perceptions of psychology researchers",34019600,8139478,PONE-D-20-34753,10.1371/journal.pone.0252047,"Research Article",2021-05-21,2020-11-05,2021-05-10,,"© 2021 Borghi, Van Gulick","",""
1668,474,"Population stratification enables modeling effects of reopening policies on mortality and hospitalization rates",34022420,8555375,,10.1016/j.jbi.2021.103818,Article,2021-10-22,"","",,,"COVID-19;SIR-HCD;SIR;Epidemic forecasting model;Reopening policy;Risk stratification",""
1669,66,"Nonparametric coalescent inference of mutation spectrum history and demography",34016747,8166128,202013798,10.1073/pnas.2013798118,418,2021-05-25,"","",,"Copyright © 2021 the Author(s). Published by PNAS.","coalescent theory;inverse problems;mutation spectrum;demographic inference;sample frequency spectrum",https://github.com/google/jax;https://github.com/harrispopgen/mushi-pipelines
1670,180,"Performance analysis for similarity data fusion model for enabling time series indexing in internet of things applications",34084921,8157125,cs-500,10.7717/peerj-cs.500,"Algorithms and Analysis of Algorithms",2021-05-20,2020-11-23,2021-03-31,,"© 2021 Younan et al.","Internet of things;Data reduction;DTW;Searching;Time series;Clustering;Indexing",https://github.com/MinaYounan-CS/ClRe
1671,26,"MichiGAN: sampling from disentangled representations of single-cell data using generative adversarial networks",34016135,8139054,2373,10.1186/s13059-021-02373-4,Research,2021-05-20,2020-11-17,2021-05-05,,"© The Author(s) 2021","Cellular identity;Disentangled representations;Generative adversarial networks;Representation learning;Single-cell genomics",https://github.com/soedinglab/prosstt;https://github.com/welch-lab/MichiGAN;https://github.com/czbiohub/tabula-muris;https://github.com/deepmind/dsprites-dataset
1672,52,"Metabolomics and computational analysis of the role of monoamine oxidase activity in delirium and SARS-COV-2 infection",34017039,8138024,90243,10.1038/s41598-021-90243-1,Article,2021-05-20,2021-02-15,2021-05-05,,"© Crown 2021","Computational models;Data mining;Neurological disorders;Neural ageing",https://github.com/paul-kassebaum-mathworks/circularGraph
1673,12,"DLBCL-Morph: Morphological features computed using deep learning for an annotated digital DLBCL image set",34017010,8137959,915,10.1038/s41597-021-00915-w,"Data Descriptor",2021-05-20,2020-09-18,2021-03-29,,"© The Author(s) 2021","B-cell lymphoma;Cancer imaging;B-cell lymphoma;Cancer imaging",https://github.com/stanfordmlgroup/DLBCL-Morph
1674,18,"Deep learning predicts cardiovascular disease risks from lung cancer screening low dose computed tomography",34017001,8137697,23235,10.1038/s41467-021-23235-4,Article,2021-05-20,2020-08-19,2021-04-20,,"© The Author(s) 2021","Predictive markers;Risk factors",https://github.com/DIAL-RPI/CVD-Risk-Estimator
1675,5,"Standardized and reproducible measurement of decision-making in mice",34011433,8137147,63711,10.7554/eLife.63711,"Tools and Resources",2021-05-20,2020-10-03,2021-04-08,,"© 2021, The International Brain Laboratory et al","behavior;reproducibility;decision making;Mouse",https://github.com/int-brain-lab/paper-behavior
1676,51,"Emergence of canonical functional networks from the structural connectome",34022382,8451304,,10.1016/j.neuroimage.2021.118190,Article,2021-09-09,"","",,,"Structural connectivity;Functional networks;Graph Laplacian;Complex Laplacian",https://github.com/axiezai/complex_laplacian
1677,142,"Serial Electron Diffraction Data Processing With diffractem and CrystFEL",34095217,8171297,624264,10.3389/fmolb.2021.624264,"Molecular Biosciences",2021-05-19,2020-10-31,2021-04-28,,"Copyright © 2021 Bücker, Hogan-Lamarre and Miller.","MicroED;python package;serial crystallography;data processing;crystallography;CryoEM;electron diffraction",https://github.com/robertbuecker/diffractem;https://github.com/robertbuecker/serialed-examples
1678,5,"Modeling the impact of racial and ethnic disparities on COVID-19 epidemic dynamics",34003112,8221808,66601,10.7554/eLife.66601,"Research Article",2021-05-18,2021-01-15,2021-05-17,,"© 2021, Ma et al","SARS-CoV-2;COVID-19;mathematical modeling;Herd immunity;Viruses",https://github.com/kevincma/covid19-race-ethnicity-model
1679,60,"The Application of Convolutional Neural Networks (CNNs) to Recognize Defects in 3D-Printed Parts",34063484,8156518,materials-14-02575,10.3390/ma14102575,Article,2021-05-15,2021-04-10,2021-05-11,,"© 2021 by the authors.","defect classification;defect detection;image segmentation;CNNs;YOLOv4;Detectron2;additive manufacturing;process control",https://github.com/facebookresearch/detectron2;https://github.com/facebookresearch/Detectron;https://github.com/tzutalin/labelImg;https://github.com/wkentaro/labelme;https://github.com/AlexeyAB/darknet;https://github.com/neclipse/Metal_defects_detection
1680,368,"Open Science in Kenya: Where Are We?",34056516,8155710,,10.3389/frma.2021.669675,"Research Metrics and Analytics",2021-05-13,2021-02-19,2021-04-07,,"Copyright © 2021 Mwangi, Mainye, Ouso, Esoh, Muraya, Mwangi, Naitore, Karega, Kibet-Rono, Musundi, Mutisya, Mwangi, Mgawe, Miruka, Kibet and OpenScienceKE Collaborators.","open science;OpenScienceKE;open access;preprints;Kenya",https://github.com/BioinfoNet/Status-of-OpenScienceKE-LiteratureSearch;https://github.com/BioinfoNet/Data-mining;https://github.com/OmnesRes/prepub;https://github.com/BioinfoNet/LowCostOpenAccess;https://github.com/dami82/easyPubMed;https://github.com/aureliojargas/sed.sf.net
1681,475,"sparse-growth-curve: a Computational Pipeline for Parsing Cellular Growth Curves with Low Temporal Resolution",33986091,8142577,MRA00296-21,10.1128/MRA.00296-21,"Databases and Software",2021-05-13,2021-03-22,2021-04-16,,"Copyright © 2021 Cheng and Thrash.","",https://github.com/thrash-lab/sparse-growth-curve;https://github.com/jmcnamara/XlsxWriter
1682,52,"Evaluating machine learning techniques for archaeological lithic sourcing: a case study of flint in Britain",33986304,8119680,87834,10.1038/s41598-021-87834-3,Article,2021-05-13,2021-01-18,2021-03-29,,"© The Author(s) 2021, corrected publication 2021","Characterization and analytical techniques;Geochemistry;Statistics",""
1683,476,"Natural Language Processing of Radiology Text Reports: Interactive
Text Classification",34350414,8328116,,10.1148/ryai.2021210035,"Special Report",2021-05-12,2021-01-26,2021-04-22,,"2021 by the Radiological Society of North America,
Inc.","Neural Networks;Negative Expression Recognition;Natural Language Processing;Computer Applications;Informatics",""
1684,75,"The Dockstore: enhancing a community platform for sharing reproducible and accessible computational protocols",33978761,8218198,gkab346,10.1093/nar/gkab346,AcademicSubjects/SCI00010,2021-07-02,2021-03-02,2021-04-26,,"© The Author(s) 2021. Published by Oxford University Press on behalf of Nucleic Acids Research.","",https://github.com/dockstore/dockstore
1685,476,"Magician’s Corner: 9. Performance Metrics for Machine Learning
Models",34136815,8204137,,10.1148/ryai.2021200126,Editorial,2021-05-12,2020-05-27,2020-10-14,,"2021 by the Radiological Society of North America,
Inc.","",""
1686,477,"Automatic Fruit Morphology Phenome and Genetic Analysis: An Application in the Octoploid Strawberry",34056620,8139333,,10.34133/2021/9812910,"Research Article","",2020-11-09,2021-04-20,,"Copyright © 2021 Laura M. Zingaretti et al.","",https://github.com/lauzingaretti/DeepAFS
1687,70,"scConnect: a method for exploratory analysis of cell–cell communication based on single-cell RNA-sequencing data",33974001,8545319,btab245,10.1093/bioinformatics/btab245,"Original Papers",2021-10-15,2020-07-10,2021-04-14,,"© The Author(s) 2021. Published by Oxford University Press.","",https://github.com/JonETJakobsson/scConnect;https://github.com/JonETJakobsson/Connectivity-paper
1688,18,"Integration of machine learning and genome-scale metabolic modeling identifies multi-omics biomarkers for radiation resistance",33976213,8113601,22989,10.1038/s41467-021-22989-1,Article,2021-05-11,2020-06-23,2021-04-09,,"© The Author(s) 2021","Biochemical reaction networks;Data mining;Cancer metabolism",https://github.com/keras-team/keras;https://github.com/kemplab/ML-radiation;https://github.com/kemplab/FBA-pipeline
1689,478,"OpenTree: A Python Package for Accessing and Analyzing Data from the Open Tree of Life",33970279,8513759,syab033,10.1093/sysbio/syab033,"Software for Systematics and Evolution","",2020-12-15,2021-05-03,,"© The Author(s) 2021. Published by Oxford University Press, on behalf of the Society of Systematic Biologists.","",https://github.com/OpenTreeOfLife/amendments-1;https://github.com/OpenTreeOfLife/germinator;https://github.com/OpenTreeOfLife/python-opentree
1690,479,"Where Do We Go From Here? A Framework for Using Susceptible-Infectious-Recovered Models for Policy Making in Emerging Infectious Diseases",34243834,8110035,,10.1016/j.jval.2021.03.005,"Themed Section: COVID-19",2021-05-10,"",2021-03-07,,"© 2021 ISPOR-The Professional Society for Health Economics and Outcomes Research. Published by Elsevier Inc.","policy;COVID-19;SIR modeling;health services research;epidemiology;cost benefit",""
1691,7,"Understanding and improving the quality and reproducibility of Jupyter notebooks",33994841,8106381,9961,10.1007/s10664-021-09961-9,Article,2021-05-08,"",2021-03-19,,"© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021","Jupyter notebook;GitHub;Reproducibility;Quality;Lint",https://github.com/taavi/ipython_nose;https://github.com/krassowski/jupyterlab-lsp;https://github.com/mlshapiro/jupyterlab-flake8;https://github.com/parente/nbestimate;https://github.com/JoaoFelipe/ipython-unittest;https://github.com/udacity/deep-learning
1692,145,"Polynomial, piecewise-Linear, Step (PLS): A Simple, Scalable, and Efficient Framework for Modeling Neurons",34025382,8134741,,10.3389/fninf.2021.642933,Neuroscience,2021-05-06,2020-12-17,2021-03-29,,"Copyright © 2021 Tikidji-Hamburyan and Colonnese.","neurons;biophysical models;neurodynamics;CPU;GPU;mobile devices;phenomenological models",""
1693,52,"A new strategy to map landslides with a generalized convolutional neural network",33958656,8102623,89015,10.1038/s41598-021-89015-8,Article,2021-05-06,2020-11-23,2021-04-20,,"© The Author(s) 2021, corrected publication 2022","Geomorphology;Natural hazards;Geology",https://github.com/nprksh/landslide-mapping-with-cnn
1694,267,"The Pop-Gen Pipeline Platform: A Software Platform for Population Genomic Analyses",33950197,8321520,msab113,10.1093/molbev/msab113,Resources,"","","",,"© The Author(s) 2021. Published by Oxford University Press on behalf of the Society for Molecular Biology and Evolution.","population genomics;bioinformatics;primate evolution",""
1695,480,"Global, regional, and national consumption of controlled opioids: a cross-sectional study of 214 countries and non-metropolitan territories",35111312,8801686,10.1177_20494637211013052,10.1177/20494637211013052,Articles,2021-05-04,"","",,"© The British Pain Society 2021","Opioids;pain management;anaesthetics;analgesics;antidiarrheals;opioid substitution therapies;cough suppressants;narcotics",https://github.com/georgiarichards/opioid_emls_maps
1696,481,"Drinking-and-driving in the United States from 1983–2017: comparing survey and model-based estimates of prevalence",34194976,8238414,,10.1016/j.amar.2021.100166,Article,2021-05-21,"","",,,"drinking-and-driving;National Roadside Survey;Fatality Analysis Reporting System;externality",""
1697,34,"re-Searcher: GUI-based bioinformatics tool for simplified genomics data mining of VCF files",33987016,8101456,11333,10.7717/peerj.11333,Bioinformatics,2021-05-03,2020-09-17,2021-04-01,,"©2021 Karabayev et al.","Genome analysis;Genomics;Bioinformatics;Genomics data mining;NGS data analysis;Variant call format;VCF",https://github.com/LabBandSB/re-Searcher
1698,1,"Modern simulation utilities for genetic analysis",33941078,8091532,4086,10.1186/s12859-021-04086-8,Software,2021-05-03,2020-07-15,2021-03-17,,"© The Author(s) 2021","Trait simulation;Realistic genetic models;Power;Statistical genetics",https://github.com/OpenMendel/TraitSimulation.jl
1699,447,"VipariNama: RNA viral vectors to rapidly elucidate the relationship between gene expression and phenotype",34009393,8331131,kiab197,10.1093/plphys/kiab197,"Research Articles","",2020-06-16,2021-04-01,,"© The Author(s) 2021. Published by Oxford University Press on behalf of American Society of Plant Biologists.","",https://github.com/arjunkhakhar/Viparinama
1700,382,"ImageJ and CellProfiler: Complements in Open Source Bioimage Analysis",34038030,8450896,,10.1002/cpz1.89,Article,2021-09-12,"","",,,"ImageJ;CellProfiler;Image Stitching;Cell Tracking;Segmentation",""
1701,295,"Statistical Emulation of Winter Ambient Fine Particulate Matter Concentrations From Emission Changes in China",33977182,8095364,GH2231,10.1029/2021GH000391,"Atmospheric PM2.5 in China: indoor, outdoor, and health effects","",2021-01-19,2021-04-17,,"© 2021. The Authors. GeoHealth published by Wiley Periodicals LLC on behalf of American Geophysical Union.","air quality;China;emissions;emulator;machine learning;particulate matter",https://github.com/douglowe/WRF_UoM_EMIT
1702,482,"Visual tools for teaching machine learning in K-12: A ten-year systematic mapping",33967587,8087535,10570,10.1007/s10639-021-10570-8,Article,2021-05-01,2020-11-06,2021-04-27,,"© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021","Visual tool;Machine learning;Computing education;K-12",https://github.com/mitmedialab/cognimates-vm;https://github.com/Noufst/DeepScratch;https://github.com/ecraft2learn/ai;https://github.com/googlecreativelab/teachablemachine-community;https://github.com/IBM/taxinomitis;https://github.com/kylecorry31/ML4K-AI-Extension;https://github.com/biolab/orange3;https://github.com/mit-cml/appinventor-extensions;https://github.com/Calysto/metakernel
